scenario,replica,strategy,n_techs,lambda_orders,misplacement_rate,mean_search_time,p95_search_time,error_rate,orders_processed,orders_failed,avg_utilization,total_orders,mean_queue_length,max_queue_length,total_steps_walked,mean_steps_walked,timestamp
comparison_actual,1,actual,2,0.5,0.0,10.0,10.0,0.0,1,0,1.0416666666666665,1,0.0,0,40.71136705490675,40.71136705490675,2025-11-18T18:28:47.161470
comparison_by_model,1,by_model,2,0.5,0.0,34.2,56.3,0.0,5,0,17.8125,5,0.0,0,191.67069746084616,38.33413949216923,2025-11-18T18:28:48.132906
comparison_rfid,1,rfid,2,0.5,0.0,0.2,0.2,0.0,2,0,0.04166666666666667,2,0.0,0,0.0,0.0,2025-11-18T18:28:48.171411
comparison_statistical,1,statistical,2,0.5,0.0,13.0,18.4,0.0,2,0,2.7083333333333335,2,0.0,0,72.21300437978068,36.10650218989034,2025-11-18T18:28:48.214028
comparison_by_lot,1,by_lot,2,0.5,0.0,25.96,48.0,0.0,5,0,13.520833333333334,5,0.0,0,195.85072236070536,39.170144472141075,2025-11-18T18:28:48.253976
